"Product Code","Product Name",Variant,Expected,Counted
aabb,aabb,Each,5.0000,
ab,ab,Each,879.0000,
ac,ac,,-2.0000,
ad,ad,,999.0000,
AD01,"Admixture R148",,-156.8400,
cam-01,Cambodia,កេស,2616.0000,
cam-01,Cambodia,កំប៉ុង,-24.0000,
channa_product,channa_product,Each,-31.0000,
channa_product,channa_product,Box,-50.0000,
channa_product_1,channa_product_1,Each,-4.0000,
channa_product_1,channa_product_1,Big_box,-240.0000,
channa_product_1,channa_product_1,Box,-50.0000,
cheat1,cheat1,Each,91.0000,
cheat1,cheat1,Box,-80.0000,
cheat2,cheat2,Unit,100.0000,
CTHY-001,"Channthy 001",,-23.0000,
CTHY-002,"Channthy 002",,-54.0000,
fan001,Fanta,កេស,-15552.0000,
fan001,Fanta,កំប៉ុង,-1.0000,
fr001,Freshy,កំប៉ុង,0.0000,
fr001,Freshy,កេស,-312.0000,
KC01,K_Cement,,-18483.0000,
mouy007,mouy-test1,,0.0000,
mouy008,mouy-kompong,,99.0000,
PCF21,Pisey-Coffee,,0.0000,
Pisey-Drink001,Pisey-Drink,,994.0000,
PPro001,"Pisey Pro1",,-143.0000,
PTPro1,"Pisey test pro1",,12.0000,
PTPro2,"Pisey test pro2",,57.0000,
PTPro3,"pisey test pro3",,100.0000,
PTPro4,"Pisey test pro4",,4.0000,
S001,Sand,,-47885.0000,
ST01,Stone,,-59086.0000,
TT-006,"Test 006",,58.0000,
